All,הכל,module,Magento_AdminGws
None,ללא,module,Magento_AdminGws
"Allowed Scopes","טווח נתונים אפשריים",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","אתה צריך הרשאות נוספות כדי למחוק את הפריט(ים): %1.",module,Magento_AdminGws
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","ישנם כללים שהשתנו, אך לא בוצעו. רק למשתמשים עם גישה בלעדית קיימת האפשרות להפעיל כללים.",module,Magento_AdminGws
"Please assign this entity to a store view.","נא להקצות ישות זו לתצוגת חנות.",module,Magento_AdminGws
"You can create an order in an active store only.","באפשרותך ליצור הזמנה בחנות פעילה בלבד.",module,Magento_AdminGws
"Please assign this item to a store view.","נא להקצות פריט זה לתצוגת חנות.",module,Magento_AdminGws
"You need more permissions to save this item.","נדרשת הרשאה גבוהה יותר לשמירת פריט זה.",module,Magento_AdminGws
"You need more permissions to delete this item.","נדרשת הרשאה גבוהה יותר למחיקת פריט זה.",module,Magento_AdminGws
"You need more permissions to view this item.","נדרשת הרשאה גבוהה יותר לצפייה בפריט זה.",module,Magento_AdminGws
"Please specify at least one website or one store group.","נא ציין אתר אחד לפחות או קבוצת חנויות ספציפית.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","אתה צריך הרשאה יותר גבוהה כדי להגדיר תפקיד.",module,Magento_AdminGws
"Incorrect website ID: %1","מזהה אתר שגוי: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","אתה צריך הרשאה יותר גבוהה כדי לצפות באתר ""1%"".",module,Magento_AdminGws
"Incorrect store ID: %1","מזהה חנות שגוי: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","אתה צריך הרשאה יותר גבוהה על מנת לשמור את ההגדרות.",module,Magento_AdminGws
"Role Scopes","טווחי תפקיד",module,Magento_AdminGws
Custom,"מותאם אישית",module,Magento_AdminGws
"Read Details","קרא פרטים",module,Magento_AdminNotification
"Mark as Read","סמן כנקרא",module,Magento_AdminNotification
"Are you sure?","האם אתה בטוח?",module,Magento_AdminNotification
Remove,הסר,module,Magento_AdminNotification
"Messages Inbox","הודעות בתיבת הדואר הנכנס",module,Magento_AdminNotification
"You have %1 new system messages","יש לך הודעות מערכת חדשות %1",module,Magento_AdminNotification
"You have %1 new system message","יש לך הודעה מערכת חדשה %1",module,Magento_AdminNotification
"Incoming Message","הודעה חדשה",module,Magento_AdminNotification
close,סגור,module,Magento_AdminNotification
"Read details","קרא פרטים",module,Magento_AdminNotification
Notifications,התראות,module,Magento_AdminNotification
"The message has been marked as Read.","ההודעה סומנה כהודעה שנקראה.",module,Magento_AdminNotification
